ciutat,pagina,zona,carrer,preu,m2,preu_m2,nHab,nBanys
lleida,5,"Centre Històric, Centre Històric",,500,50,10,1,1
lleida,6,"Bordeta, Rambla Ferran",,600,80,8,3,2
lleida,6,"Bordeta, Rambla Ferran",,475,45,11,1,1
lleida,6,"Bordeta, Instituts-Universitat",,525,60,9,2,1
lleida,6,"Centre Històric, Centre Històric",,550,75,7,2,1
lleida,6,"Bordeta, Clot-Príncep de Viana",,500,60,8,2,1
lleida,6,"Centre Històric, Centre Històric",,530,40,13,1,1
lleida,6,"Bordeta, Joc de la Bola",,1.000,160,6,4,2
lleida,6,"Centre Històric, Centre Històric",,650,90,7,3,1
lleida,6,"Centre Històric, Centre Històric",,800,123,7,4,2
lleida,6,"Bordeta, Instituts-Universitat",,500,65,8,2,1
lleida,6,"Centre Històric, Centre Històric",,700,110,6,3,2
lleida,6,"Bordeta, Rambla Ferran",,475,45,11,1,1
lleida,6,"Bordeta, Ciutat Jardí",,1.800,400,5,7,6
lleida,6,"Bordeta, Instituts-Universitat",,500,60,8,1,1
lleida,6,"Centre Històric, Centre Històric",,750,131,6,4,2
lleida,6,"Bordeta, Joc de la Bola",,695,100,7,3,1
lleida,6,"Bordeta, Clot-Príncep de Viana",,650,90,7,2,1
lleida,6,"Bordeta, Clot-Príncep de Viana",,600,95,6,3,1
lleida,6,"Bordeta, Clot-Príncep de Viana",,650,135,5,3,2
lleida,6,"Bordeta, Clot-Príncep de Viana",,750,110,7,4,1
lleida,7,"Bordeta, Clot-Príncep de Viana",,500,55,9,2,1
lleida,7,"Bordeta, Instituts-Universitat",,500,55,9,1,1
lleida,7,"Centre Històric, Centre Històric",,850,138,6,3,2
lleida,7,Cappont,,800,90,9,2,2
lleida,7,"Bordeta, Instituts-Universitat",,550,60,9,2,1
lleida,7,"Centre Històric, Centre Històric",,800,105,8,2,2
lleida,7,"Bordeta, Clot-Príncep de Viana",,800,150,5,4,2
lleida,7,"Bordeta, Clot-Príncep de Viana",,700,70,10,3,1
lleida,7,"Centre Històric, Centre Històric",,580,75,8,1,2
lleida,7,"Centre Històric, Centre Històric",,580,75,8,1,2
lleida,7,"Bordeta, Ciutat Jardí",,2.375,635,4,7,4
lleida,7,"Centre Històric, Centre Històric",,600,86,7,3,2
lleida,7,"Bordeta, Joc de la Bola",,800,130,6,3,2
lleida,7,"Centre Històric, Centre Històric",,600,100,6,3,2
lleida,7,"Bordeta, La Bordeta",,800,145,6,5,3
lleida,7,"Bordeta, Ciutat Jardí",,1.200,850,1,4,3
lleida,7,"Bordeta, Clot-Príncep de Viana",,600,60,10,2,1
lleida,7,Cappont,,800,90,9,3,2
lleida,7,"Bordeta, Joc de la Bola",,825,129,6,4,2
lleida,7,"Bordeta, La Bordeta",,800,180,4,4,3
lleida,8,"Bordeta, Clot-Príncep de Viana",,1.200,162,7,5,1
lleida,8,"Bordeta, Clot-Príncep de Viana",,800,162,5,5,1
lleida,8,"Bordeta, Ciutat Jardí",,1.300,292,4,5,4
lleida,8,"Bordeta, Ciutat Jardí",,950,172,6,3,2
lleida,8,"Bordeta, Ciutat Jardí",,1.900,620,3,8,4
lleida,8,Mariola,,570,72,8,3,1
lleida,8,"Bordeta, Ciutat Jardí",,950,170,6,3,2
lleida,8,"Bordeta, Instituts-Universitat",,800,108,7,4,2
lleida,8,"Bordeta, Instituts-Universitat",,800,100,8,3,1
lleida,8,"Centre Històric, Centre Històric",,650,69,9,3,2
